id,year,servicegood,importexport,title,price
417,1998,service,import,Travel,56105
418,1997,service,import,Travel,52051
419,2010,service,import,Passenger Fares,27279
420,2009,service,import,Passenger Fares,25137
421,2008,service,import,Passenger Fares,31841
422,2007,service,import,Passenger Fares,28486
423,2006,service,import,Passenger Fares,27501
424,2005,service,import,Passenger Fares,26149
425,2004,service,import,Passenger Fares,23701
426,2003,service,import,Passenger Fares,20957
427,2002,service,import,Passenger Fares,19969
428,2001,service,import,Passenger Fares,22418
429,2000,service,import,Passenger Fares,24306
430,1999,service,import,Passenger Fares,21315
431,1998,service,import,Passenger Fares,19797
432,1997,service,import,Passenger Fares,18138
433,2010,service,import,Other Transportation,51202
434,2009,service,import,Other Transportation,42591
435,2008,service,import,Other Transportation,56696
436,2007,service,import,Other Transportation,67050
437,2006,service,import,Other Transportation,65262
438,2005,service,import,Other Transportation,61937
439,2004,service,import,Other Transportation,54169
440,2003,service,import,Other Transportation,44705
441,2002,service,import,Other Transportation,38407
442,2001,service,import,Other Transportation,38823
443,2000,service,import,Other Transportation,41598
444,1999,service,import,Other Transportation,34139
445,1998,service,import,Other Transportation,30457
446,1997,service,import,Other Transportation,28959
447,2010,service,import,Royalties and License Fees,33450
448,2009,service,import,Royalties and License Fees,29849
449,2008,service,import,Royalties and License Fees,29623
450,2007,service,import,Royalties and License Fees,25048
451,2006,service,import,Royalties and License Fees,23777
452,2005,service,import,Royalties and License Fees,24612
453,2004,service,import,Royalties and License Fees,23901
454,2003,service,import,Royalties and License Fees,19390
455,2002,service,import,Royalties and License Fees,19335
456,2001,service,import,Royalties and License Fees,16359
457,2000,service,import,Royalties and License Fees,16115
458,1999,service,import,Royalties and License Fees,12609
459,1998,service,import,Royalties and License Fees,11292
460,1997,service,import,Royalties and License Fees,9390
461,2010,service,import,Other Private Services,180598
462,2009,service,import,Other Private Services,174325
463,2008,service,import,Other Private Services,172543
464,2007,service,import,Other Private Services,144375
465,2006,service,import,Other Private Services,125221
466,2005,service,import,Other Private Services,97818
467,2004,service,import,Other Private Services,95666
468,2003,service,import,Other Private Services,85741
469,2002,service,import,Other Private Services,75290
470,2001,service,import,Other Private Services,54588
471,2000,service,import,Other Private Services,55253
472,1999,service,import,Other Private Services,46313
473,1998,service,import,Other Private Services,47670
474,1997,service,import,Other Private Services,43909
475,2010,service,import,Direct Defense Expenditures,30391
476,2009,service,import,Direct Defense Expenditures,30474
477,2008,service,import,Direct Defense Expenditures,28311
478,2007,service,import,Direct Defense Expenditures,32820
479,2006,service,import,Direct Defense Expenditures,31032
480,2005,service,import,Direct Defense Expenditures,30075
481,2004,service,import,Direct Defense Expenditures,29299
482,2003,service,import,Direct Defense Expenditures,25296
483,2002,service,import,Direct Defense Expenditures,19101
484,2001,service,import,Direct Defense Expenditures,15198
485,2000,service,import,Direct Defense Expenditures,13560
486,1999,service,import,Direct Defense Expenditures,13334
487,1998,service,import,Direct Defense Expenditures,12841
488,1997,service,import,Direct Defense Expenditures,11698
489,2010,service,import,U.S. Government Misc. Services ,4621
490,2009,service,import,U.S. Government Misc. Services ,4415
491,2008,service,import,U.S. Government Misc. Services ,3905
492,2007,service,import,U.S. Government Misc. Services ,4184
493,2006,service,import,U.S. Government Misc. Services ,4021
494,2005,service,import,U.S. Government Misc. Services ,3979
495,2004,service,import,U.S. Government Misc. Services ,3734
496,2003,service,import,U.S. Government Misc. Services ,3131
497,2002,service,import,U.S. Government Misc. Services ,2920
498,2001,service,import,U.S. Government Misc. Services ,2882
499,2000,service,import,U.S. Government Misc. Services ,2883
500,1999,service,import,U.S. Government Misc. Services ,2821
501,1998,service,import,U.S. Government Misc. Services ,2849
502,1997,service,import,U.S. Government Misc. Services ,2762
503,2010,good,import,Total Balance of Payments Basis,1934555
504,2009,good,import,Total Balance of Payments Basis,1575400
505,2008,good,import,Total Balance of Payments Basis,2137608
506,2007,good,import,Total Balance of Payments Basis,1967853
507,2006,good,import,Total Balance of Payments Basis,1861380
508,2005,good,import,Total Balance of Payments Basis,1681780
509,2004,good,import,Total Balance of Payments Basis,1472926
510,2003,good,import,Total Balance of Payments Basis,1260717
511,2002,good,import,Total Balance of Payments Basis,1164720
512,2001,good,import,Total Balance of Payments Basis,1145927
513,2000,good,import,Total Balance of Payments Basis,1224417
514,1999,good,import,Total Balance of Payments Basis,1029987
515,1998,good,import,Total Balance of Payments Basis,917178
516,1997,good,import,Total Balance of Payments Basis,876366
517,2010,good,import,Net Adjustments,21395
518,2009,good,import,Net Adjustments,15776
519,2008,good,import,Net Adjustments,33967
520,2007,good,import,Net Adjustments,10892
521,2006,good,import,Net Adjustments,7441
522,2005,good,import,Net Adjustments,8325
523,2004,good,import,Net Adjustments,3221
524,2003,good,import,Net Adjustments,3596
525,2002,good,import,Net Adjustments,3354
526,2001,good,import,Net Adjustments,4928
527,2000,good,import,Net Adjustments,6395
528,1999,good,import,Net Adjustments,5369
529,1998,good,import,Net Adjustments,5282
530,1997,good,import,Net Adjustments,6662
531,2010,good,import,Total Census Basis,1913160
532,2009,good,import,Total Census Basis,1559625
533,2008,good,import,Total Census Basis,2103641
534,2007,good,import,Total Census Basis,1956962
535,2006,good,import,Total Census Basis,1853938
536,2005,good,import,Total Census Basis,1673455
537,2004,good,import,Total Census Basis,1469704
538,2003,good,import,Total Census Basis,1257121
539,2002,good,import,Total Census Basis,1161366
540,2001,good,import,Total Census Basis,1140999
541,2000,good,import,Total Census Basis,1218022
542,1999,good,import,Total Census Basis,1024618
543,1998,good,import,Total Census Basis,911896
544,1997,good,import,Total Census Basis,869704
545,2010,good,import,"Foods, Feeds, Beverages",91730
546,2009,good,import,"Foods, Feeds, Beverages",81604
547,2008,good,import,"Foods, Feeds, Beverages",88997
548,2007,good,import,"Foods, Feeds, Beverages",81683
549,2006,good,import,"Foods, Feeds, Beverages",74938
550,2005,good,import,"Foods, Feeds, Beverages",68094
551,2004,good,import,"Foods, Feeds, Beverages",62143
552,2003,good,import,"Foods, Feeds, Beverages",55831
553,2002,good,import,"Foods, Feeds, Beverages",49687
554,2001,good,import,"Foods, Feeds, Beverages",46641
555,2000,good,import,"Foods, Feeds, Beverages",45979
556,1999,good,import,"Foods, Feeds, Beverages",43602
557,1998,good,import,"Foods, Feeds, Beverages",41243
558,1997,good,import,"Foods, Feeds, Beverages",39694
559,2010,good,import,Industrial Supplies,602663
560,2009,good,import,Industrial Supplies,462512
561,2008,good,import,Industrial Supplies,779481
562,2007,good,import,Industrial Supplies,634746
563,2006,good,import,Industrial Supplies,601988
564,2005,good,import,Industrial Supplies,523771
565,2004,good,import,Industrial Supplies,412827
566,2003,good,import,Industrial Supplies,313818
567,2002,good,import,Industrial Supplies,267693
568,2001,good,import,Industrial Supplies,273870
569,2000,good,import,Industrial Supplies,298980
570,1999,good,import,Industrial Supplies,221386
571,1998,good,import,Industrial Supplies,200140
572,1997,good,import,Industrial Supplies,213767
573,2010,good,import,Capital Goods,449178
574,2009,good,import,Capital Goods,369336
575,2008,good,import,Capital Goods,453743
576,2007,good,import,Capital Goods,444486
577,2006,good,import,Capital Goods,418259
578,2005,good,import,Capital Goods,379331
579,2004,good,import,Capital Goods,343451
580,2003,good,import,Capital Goods,295833
581,2002,good,import,Capital Goods,283323
582,2001,good,import,Capital Goods,297993
583,2000,good,import,Capital Goods,347025
584,1999,good,import,Capital Goods,295717
585,1998,good,import,Capital Goods,269557
586,1997,good,import,Capital Goods,253282
587,2010,good,import,"Automotive Vehicles, etc.",225049
588,2009,good,import,"Automotive Vehicles, etc.",157629
589,2008,good,import,"Automotive Vehicles, etc.",231242
590,2007,good,import,"Automotive Vehicles, etc.",258920
591,2006,good,import,"Automotive Vehicles, etc.",256627
592,2005,good,import,"Automotive Vehicles, etc.",239449
593,2004,good,import,"Automotive Vehicles, etc.",228235
594,2003,good,import,"Automotive Vehicles, etc.",210173
595,2002,good,import,"Automotive Vehicles, etc.",203743
596,2001,good,import,"Automotive Vehicles, etc.",189782
597,2000,good,import,"Automotive Vehicles, etc.",195875
598,1999,good,import,"Automotive Vehicles, etc.",178964
599,1998,good,import,"Automotive Vehicles, etc.",149054
600,1997,good,import,"Automotive Vehicles, etc.",139812
601,2010,good,import,Consumer Goods,483268
602,2009,good,import,Consumer Goods,428379
603,2008,good,import,Consumer Goods,481643
604,2007,good,import,Consumer Goods,474892
605,2006,good,import,Consumer Goods,442639
606,2005,good,import,Consumer Goods,407237
607,2004,good,import,Consumer Goods,372943
608,2003,good,import,Consumer Goods,333878
609,2002,good,import,Consumer Goods,307842
610,2001,good,import,Consumer Goods,284293
611,2000,good,import,Consumer Goods,281832
612,1999,good,import,Consumer Goods,241905
613,1998,good,import,Consumer Goods,216515
614,1997,good,import,Consumer Goods,193811
615,2010,good,import,Other Goods,61272
616,2009,good,import,Other Goods,60165
617,2008,good,import,Other Goods,68536
618,2007,good,import,Other Goods,62234
619,2006,good,import,Other Goods,59487
620,2005,good,import,Other Goods,55572
621,2004,good,import,Other Goods,50106
622,2003,good,import,Other Goods,47587
623,2002,good,import,Other Goods,49078
624,2001,good,import,Other Goods,48421
625,2000,good,import,Other Goods,48331
626,1999,good,import,Other Goods,43044
627,1998,good,import,Other Goods,35387
628,1997,good,import,Other Goods,29338
